; 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
55,D23.1,001 10111,37,1110101001,,,1,,+,0001011001,,,,-1,-,
56,D24.1,001 11000,38,1100111001,,,1,,+,0011001001,,,,-1,-,
57,D25.1,001 11001,39,1001101001,,,,,0,1001101001,,,,,0,
58,D26.1,001 11010,3A,0101101001,,,,,0,0101101001,,,,,0,
59,D27.1,001 11011,3B,1101101001,,,1,,+,0010011001,,,,-1,-,
60,D28.1,001 11100,3C,0011101001,,,,,0,0011101001,,,,,0,
61,D29.1,001 11101,3D,1011101001,,,1,,+,0100011001,,,,-1,-,
62,D30.1,001 11110,3E,0111101001,,,1,,+,1000011001,,,,-1,-,
63,D31.1,001 11111,3F,1010111001,,,1,,+,0101001001,,,,-1,-,
64,D0.2,010 00000,40,1001110101,,,1,,+,0110000101,,,,-1,-,
65,D1.2,010 00001,41,0111010101,,,1,,+,1000100101,,,,-1,-,
66,D2.2,010 00010,42,1011010101,,,1,,+,0100100101,,,,-1,-,
67,D3.2,010 00011,43,1100010101,,,,,0,1100010101,,,,,0,
68,D4.2,010 00100,44,1101010101,,,1,,+,0010100101,,,,-1,-,
69,D5.2,010 00101,45,1010010101,,,,,0,1010010101,,,,,0,
70,D6.2,010 00110,46,0110010101,,,,,0,0110010101,,,,,0,
71,D7.2,010 00111,47,1110000101,,,,-1,-,0001110101,,,1,,+,
72,D8.2,010 01000,48,1110010101,,,1,,+,0001100101,,,,-1,-,
73,D9.2,010 01001,49,1001010101,,,,,0,1001010101,,,,,0,
74,D10.2,010 01010,4A,0101010101,,,,,0,0101010101,,,,,0,
75,D11.2,010 01011,4B,1101000101,,,,,0,1101000101,,,,,0,
76,D12.2,010 01100,4C,0011010101,,,,,0,0011010101,,,,,0,
77,D13.2,010 01101,4D,1011000101,,,,,0,1011000101,,,,,0,
78,D14.2,010 01110,4E,0111000101,,,,,0,0111000101,,,,,0,
79,D15.2,010 01111,4F,0101110101,,,1,,+,1010000101,,,,-1,-,
80,D16.2,010 10000,50,0110110101,,,1,,+,1001000101,,,,-1,-,
81,D17.2,010 10001,51,1000110101,,,,,0,1000110101,,,,,0,
82,D18.2,010 10010,52,0100110101,,,,,0,0100110101,,,,,0,
83,D19.2,010 10011,53,1100100101,,,,,0,1100100101,,,,,0,
84,D20.2,010 10100,54,0010110101,,,,,0,0010110101,,,,,0,
85,D21.2,010 10101,55,1010100101,,,,,0,1010100101,,,,,0,
86,D22.2,010 10110,56,0110100101,,,,,0,0110100101,,,,,0,
87,D23.2,010 10111,57,1110100101,,,1,,+,0001010101,,,,-1,-,
88,D24.2,010 11000,58,1100110101,,,1,,+,0011000101,,,,-1,-,
89,D25.2,010 11001,59,1001100101,,,,,0,1001100101,,,,,0,
90,D26.2,010 11010,5A,0101100101,,,,,0,0101100101,,,,,0,
91,D27.2,010 11011,5B,1101100101,,,1,,+,0010010101,,,,-1,-,
92,D28.2,010 11100,5C,0011100101,,,,,0,0011100101,,,,,0,
93,D29.2,010 11101,5D,1011100101,,,1,,+,0100010101,,,,-1,-,
94,D30.2,010 11110,5E,0111100101,,,1,,+,1000010101,,,,-1,-,
95,D31.2,010 11111,5F,1010110101,,,1,,+,0101000101,,,,-1,-,
96,D0.3,011 00000,60,1001110011,1,,1,,+,0110001100,,-1,,-1,-,
97,D1.3,011 00001,61,0111010011,1,,1,,+,1000101100,,-1,,-1,-,
98,D2.3,011 00010,62,1011010011,1,,1,,+,0100101100,,-1,,-1,-,
99,D3.3,011 00011,63,1100011100,,-1,,,-,1100010011,1,,,,+,
100,D4.3,011 00100,64,1101010011,1,,1,,+,0010101100,,-1,,-1,-,
101,D5.3,011 00101,65,1010011100,,-1,,,-,1010010011,1,,,,+,
102,D6.3,011 00110,66,0110011100,,-1,,,-,0110010011,1,,,,+,
103,D7.3,011 00111,67,1110001100,,-1,,-1,-,0001110011,1,,1,,+,
104,D8.3,011 01000,68,1110010011,1,,1,,+,0001101100,,-1,,-1,-,
105,D9.3,011 01001,69,1001011100,,-1,,,-,1001010011,1,,,,+,
106,D10.3,011 01010,6A,0101011100,,-1,,,-,0101010011,1,,,,+,
107,D11.3,011 01011,6B,1101001100,,-1,,,-,1101000011,1,,,,+,
108,D12.3,011 01100,6C,0011011100,,-1,,,-,0011010011,1,,,,+,
109,D13.3,011 01101,6D,1011001100,,-1,,,-,1011000011,1,,,,+,
110,D14.3,011 01110,6E,0111001100,,-1,,,-,0111000011,1,,,,+,
111,D15.3,011 01111,6F,0101110011,1,,1,,+,1010001100,,-1,,-1,-,
112,D16.3,011 10000,70,0110110011,1,,1,,+,1001001100,,-1,,-1,-,
113,D17.3,011 10001,71,1000111100,,-1,,,-,1000110011,1,,,,+,
114,D18.3,011 10010,72,0100111100,,-1,,,-,0100110011,1,,,,+,
115,D19.3,011 10011,73,1100101100,,-1,,,-,1100100011,1,,,,+,
116,D20.3,011 10100,74,0010111100,,-1,,,-,0010110011,1,,,,+,
117,D21.3,011 10101,75,1010101100,,-1,,,-,1010100011,1,,,,+,
118,D22.3,011 10110,76,0110101100,,-1,,,-,0110100011,1,,,,+,
119,D23.3,011 10111,77,1110100011,1,,1,,+,0001011100,,-1,,-1,-,
120,D24.3,011 11000,78,1100110011,1,,1,,+,0011001100,,-1,,-1,-,
121,D25.3,011 11001,79,1001101100,,-1,,,-,1001100011,1,,,,+,
122,D26.3,011 11010,7A,0101101100,,-1,,,-,0101100011,1,,,,+,
123,D27.3,011 11011,7B,1101100011,1,,1,,+,0010011100,,-1,,-1,-,
124,D28.3,011 11100,7C,0011101100,,-1,,,-,0011100011,1,,,,+,
125,D29.3,011 11101,7D,1011100011,1,,1,,+,0100011100,,-1,,-1,-,
126,D30.3,011 11110,7E,0111100011,1,,1,,+,1000011100,,-1,,-1,-,
127,D31.3,011 11111,7F,1010110011,1,,1,,+,0101001100,,-1,,-1,-,
128,D0.4,100 00000,80,1001110010,,-1,1,,-,0110001101,1,,,-1,+,
129,D1.4,100 00001,81,0111010010,,-1,1,,-,1000101101,1,,,-1,+,
130,D2.4,100 00010,82,1011010010,,-1,1,,-,0100101101,1,,,-1,+,
131,D3.4,100 00011,83,1100011101,1,,,,+,1100010010,,-1,,,-,
132,D4.4,100 00100,84,1101010010,,-1,1,,-,0010101101,1,,,-1,+,
133,D5.4,100 00101,85,1010011101,1,,,,+,1010010010,,-1,,,-,
134,D6.4,100 00110,86,0110011101,1,,,,+,0110010010,,-1,,,-,
135,D7.4,100 00111,87,1110001101,1,,,-1,+,0001110010,,-1,1,,-,
136,D8.4,100 01000,88,1110010010,,-1,1,,-,0001101101,1,,,-1,+,
137,D9.4,100 01001,89,1001011101,1,,,,+,1001010010,,-1,,,-,
138,D10.4,100 01010,8A,0101011101,1,,,,+,0101010010,,-1,,,-,
139,D11.4,100 01011,8B,1101001101,1,,,,+,1101000010,,-1,,,-,
140,D12.4,100 01100,8C,0011011101,1,,,,+,0011010010,,-1,,,-,
141,D13.4,100 01101,8D,1011001101,1,,,,+,1011000010,,-1,,,-,
142,D14.4,100 01110,8E,0111001101,1,,,,+,0111000010,,-1,,,-,
143,D15.4,100 01111,8F,0101110010,,-1,1,,-,1010001101,1,,,-1,+,
144,D16.4,100 10000,90,0110110010,,-1,1,,-,1001001101,1,,,-1,+,
145,D17.4,100 10001,91,1000111101,1,,,,+,1000110010,,-1,,,-,
146,D18.4,100 10010,92,0100111101,1,,,,+,0100110010,,-1,,,-,
147,D19.4,100 10011,93,1100101101,1,,,,+,1100100010,,-1,,,-,
148,D20.4,100 10100,94,0010111101,1,,,,+,0010110010,,-1,,,-,
149,D21.4,100 10101,95,1010101101,1,,,,+,1010100010,,-1,,,-,
150,D22.4,100 10110,96,0110101101,1,,,,+,0110100010,,-1,,,-,
151,D23.4,100 10111,97,1110100010,,-1,1,,-,0001011101,1,,,-1,+,
152,D24.4,100 11000,98,1100110010,,-1,1,,-,0011001101,1,,,-1,+,
153,D25.4,100 11001,99,1001101101,1,,,,+,1001100010,,-1,,,-,
154,D26.4,100 11010,9A,0101101101,1,,,,+,0101100010,,-1,,,-,
155,D27.4,100 11011,9B,1101100010,,-1,1,,-,0010011101,1,,,-1,+,
156,D28.4,100 11100,9C,0011101101,1,,,,+,0011100010,,-1,,,-,
157,D29.4,100 11101,9D,1011100010,,-1,1,,-,0100011101,1,,,-1,+,
158,D30.4,100 11110,9E,0111100010,,-1,1,,-,1000011101,1,,,-1,+,
159,D31.4,100 11111,9F,1010110010,,-1,1,,-,0101001101,1,,,-1,+,
160,D0.5,101 00000,A0,1001111010,,,1,,+,0110001010,,,,-1,-,
161,D1.5,101 00001,A1,0111011010,,,1,,+,1000101010,,,,-1,-,
162,D2.5,101 00010,A2,1011011010,,,1,,+,0100101010,,,,-1,-,
163,D3.5,101 00011,A3,1100011010,,,,,0,1100011010,,,,,0,
164,D4.5,101 00100,A4,1101011010,,,1,,+,0010101010,,,,-1,-,
165,D5.5,101 00101,A5,1010011010,,,,,0,1010011010,,,,,0,
166,D6.5,101 00110,A6,0110011010,,,,,0,0110011010,,,,,0,
167,D7.5,101 00111,A7,1110001010,,,,-1,-,0001111010,,,1,,+,
168,D8.5,101 01000,A8,1110011010,,,1,,+,0001101010,,,,-1,-,
169,D9.5,101 01001,A9,1001011010,,,,,0,1001011010,,,,,0,
170,D10.5,101 01010,AA,0101011010,,,,,0,0101011010,,,,,0,
171,D11.5,101 01011,AB,1101001010,,,,,0,1101001010,,,,,0,
172,D12.5,101 01100,AC,0011011010,,,,,0,0011011010,,,,,0,
173,D13.5,101 01101,AD,1011001010,,,,,0,1011001010,,,,,0,
174,D14.5,101 01110,AE,0111001010,,,,,0,0111001010,,,,,0,
175,D15.5,101 01111,AF,0101111010,,,1,,+,1010001010,,,,-1,-,
176,D16.5,101 10000,B0,0110111010,,,1,,+,1001001010,,,,-1,-,
177,D17.5,101 10001,B1,1000111010,,,,,0,1000111010,,,,,0,
178,D18.5,101 10010,B2,0100111010,,,,,0,0100111010,,,,,0,
179,D19.5,101 10011,B3,1100101010,,,,,0,1100101010,,,,,0,
180,D20.5,101 10100,B4,0010111010,,,,,0,0010111010,,,,,0,
181,D21.5,101 10101,B5,1010101010,,,,,0,1010101010,,,,,0,
182,D22.5,101 10110,B6,0110101010,,,,,0,0110101010,,,,,0,
183,D23.5,101 10111,B7,1110101010,,,1,,+,0001011010,,,,-1,-,
184,D24.5,101 11000,B8,1100111010,,,1,,+,0011001010,,,,-1,-,
185,D25.5,101 11001,B9,1001101010,,,,,0,1001101010,,,,,0,
186,D26.5,101 11010,BA,0101101010,,,,,0,0101101010,,,,,0,
187,D27.5,101 11011,BB,1101101010,,,1,,+,0010011010,,,,-1,-,
188,D28.5,101 11100,BC,0011101010,,,,,0,0011101010,,,,,0,
189,D29.5,101 11101,BD,1011101010,,,1,,+,0100011010,,,,-1,-,
190,D30.5,101 11110,BE,0111101010,,,1,,+,1000011010,,,,-1,-,
191,D31.5,101 11111,BF,1010111010,,,1,,+,0101001010,,,,-1,-,
192,D0.6,110 00000,C0,1001110110,,,1,,+,0110000110,,,,-1,-,
193,D1.6,110 00001,C1,0111010110,,,1,,+,1000100110,,,,-1,-,
194,D2.6,110 00010,C2,1011010110,,,1,,+,0100100110,,,,-1,-,
195,D3.6,110 00011,C3,1100010110,,,,,0,1100010110,,,,,0,
196,D4.6,110 00100,C4,1101010110,,,1,,+,0010100110,,,,-1,-,
197,D5.6,110 00101,C5,1010010110,,,,,0,1010010110,,,,,0,
198,D6.6,110 00110,C6,0110010110,,,,,0,0110010110,,,,,0,
199,D7.6,110 00111,C7,1110000110,,,,-1,-,0001110110,,,1,,+,
200,D8.6,110 01000,C8,1110010110,,,1,,+,0001100110,,,,-1,-,
201,D9.6,110 01001,C9,1001010110,,,,,0,1001010110,,,,,0,
202,D10.6,110 01010,CA,0101010110,,,,,0,0101010110,,,,,0,
203,D11.6,110 01011,CB,1101000110,,,,,0,1101000110,,,,,0,
204,D12.6,110 01100,CC,0011010110,,,,,0,0011010110,,,,,0,
205,D13.6,110 01101,CD,1011000110,,,,,0,1011000110,,,,,0,
206,D14.6,110 01110,CE,0111000110,,,,,0,0111000110,,,,,0,
207,D15.6,110 01111,CF,0101110110,,,1,,+,1010000110,,,,-1,-,
208,D16.6,110 10000,D0,0110110110,,,1,,+,1001000110,,,,-1,-,
209,D17.6,110 10001,D1,1000110110,,,,,0,1000110110,,,,,0,
210,D18.6,110 10010,D2,0100110110,,,,,0,0100110110,,,,,0,
211,D19.6,110 10011,D3,1100100110,,,,,0,1100100110,,,,,0,
212,D20.6,110 10100,D4,0010110110,,,,,0,0010110110,,,,,0,
213,D21.6,110 10101,D5,1010100110,,,,,0,1010100110,,,,,0,
214,D22.6,110 10110,D6,0110100110,,,,,0,0110100110,,,,,0,
215,D23.6,110 10111,D7,1110100110,,,1,,+,0001010110,,,,-1,-,
216,D24.6,110 11000,D8,1100110110,,,1,,+,0011000110,,,,-1,-,
217,D25.6,110 11001,D9,1001100110,,,,,0,1001100110,,,,,0,
218,D26.6,110 11010,DA,0101100110,,,,,0,0101100110,,,,,0,
219,D27.6,110 11011,DB,1101100110,,,1,,+,0010010110,,,,-1,-,
220,D28.6,110 11100,DC,0011100110,,,,,0,0011100110,,,,,0,
221,D29.6,110 11101,DD,1011100110,,,1,,+,0100010110,,,,-1,-,
222,D30.6,110 11110,DE,0111100110,,,1,,+,1000010110,,,,-1,-,
223,D31.6,110 11111,DF,1010110110,,,1,,+,0101000110,,,,-1,-,
224,D0.7,111 00000,E0,1001110001,,-1,1,,-,0110001110,1,,,-1,+,
225,D1.7,111 00001,E1,0111010001,,-1,1,,-,1000101110,1,,,-1,+,
226,D2.7,111 00010,E2,1011010001,,-1,1,,-,0100101110,1,,,-1,+,
227,D3.7,111 00011,E3,1100011110,1,,,,+,1100010001,,-1,,,-,
228,D4.7,111 00100,E4,1101010001,,-1,1,,-,0010101110,1,,,-1,+,
229,D5.7,111 00101,E5,1010011110,1,,,,+,1010010001,,-1,,,-,
230,D6.7,111 00110,E6,0110011110,1,,,,+,0110010001,,-1,,,-,
231,D7.7,111 00111,E7,1110001110,1,,,-1,+,0001110001,,-1,1,,-,
232,D8.7,111 01000,E8,1110010001,,-1,1,,-,0001101110,1,,,-1,+,
233,D9.7,111 01001,E9,1001011110,1,,,,+,1001010001,,-1,,,-,
234,D10.7,111 01010,EA,0101011110,1,,,,+,0101010001,,-1,,,-,
235,D11.7,111 01011,EB,1101001110,1,,,,+,1101001000,,-1,,,-,
236,D12.7,111 01100,EC,0011011110,1,,,,+,0011010001,,-1,,,-,
237,D13.7,111 01101,ED,1011001110,1,,,,+,1011001000,,-1,,,-,
238,D14.7,111 01110,EE,0111001110,1,,,,+,0111001000,,-1,,,-,
239,D15.7,111 01111,EF,0101110001,,-1,1,,-,1010001110,1,,,-1,+,
240,D16.7,111 10000,F0,0110110001,,-1,1,,-,1001001110,1,,,-1,+,
241,D17.7,111 10001,F1,1000110111,1,,,,+,1000110001,,-1,,,-,
242,D18.7,111 10010,F2,0100110111,1,,,,+,0100110001,,-1,,,-,
243,D19.7,111 10011,F3,1100101110,1,,,,+,1100100001,,-1,,,-,
244,D20.7,111 10100,F4,0010110111,1,,,,+,0010110001,,-1,,,-,
245,D21.7,111 10101,F5,1010101110,1,,,,+,1010100001,,-1,,,-,
246,D22.7,111 10110,F6,0110101110,1,,,,+,0110100001,,-1,,,-,
247,D23.7,111 10111,F7,1110100001,,-1,1,,-,0001011110,1,,,-1,+,
248,D24.7,111 11000,F8,1100110001,,-1,1,,-,0011001110,1,,,-1,+,
249,D25.7,111 11001,F9,1001101110,1,,,,+,1001100001,,-1,,,-,
250,D26.7,111 11010,FA,0101101110,1,,,,+,0101100001,,-1,,,-,
251,D27.7,111 11011,FB,1101100001,,-1,1,,-,0010011110,1,,,-1,+,
252,D28.7,111 11100,FC,0011101110,1,,,,+,0011100001,,-1,,,-,
253,D29.7,111 11101,FD,1011100001,,-1,1,,-,0100011110,1,,,-1,+,
254,D30.7,111 11110,FE,0111100001,,-1,1,,-,1000011110,1,,,-1,+,
255,D31.7,111 11111,FF,1010110001,,-1,1,,-,0101001110,1,,,-1,+,
